窗口,配置,累计,年化,波动,最大回撤,Calmar,夏普,索提诺,平均仓位,换手
2026,A3 暴露×1.15,0.7129412720227122,1.1851593671917002,0.3053541759182623,-0.16494023492376497,7.185386681057394,2.7155161315614538,4.375493856312183,0.6655389302695186,17.126350365904734
2026,A1 暴露×1.05,0.7126795250474987,1.1846744273708056,0.30251023116581965,-0.16201450219751756,7.312150525429705,2.7374657654520274,4.415779005706262,0.6548462960960105,17.813819987288177
2026,AB4 ×1.30 上限100% + 波动25%,0.7106418655213269,1.1809003928441548,0.25578489503653057,-0.1648977003604748,7.1614121377232305,3.179904813103816,5.42493529038437,0.5755586406520734,17.640771392137445
2026,A4 暴露×1.20,0.7024754366014139,1.165795423566252,0.30685557712383704,-0.16510064307675199,7.061119822678686,2.6746647233166674,4.290549997183998,0.6706940826410701,17.047406247470207
2026,S1 平滑后×1.05,0.7013555512191065,1.1637265875540859,0.30102517710484533,-0.15880860703202437,7.327855897126624,2.717438851296816,4.367181276382496,0.661155337461672,17.3250609302758
2026,S2 平滑后×1.10,0.69399895343078,1.150151596406367,0.3045961689466245,-0.16323058307859362,7.046177099377172,2.6683472063963247,4.2934420975687875,0.6812791261467136,16.68729640581627
2026,A5 暴露×1.30,0.6920058431294864,1.146478331894977,0.3080095956343967,-0.16384784684487874,6.997213292527392,2.636612237263835,4.22032149083223,0.6783143491894866,16.862676565194768
2026,A6 暴露×1.20 上限100%,0.6751162780077247,1.11542986264267,0.3205240783775662,-0.1659075805536937,6.723200102852899,2.5005318671005377,3.9052474804269384,0.7048181200687375,17.16314213368989
2026,AB2 ×1.20 + 波动25%双向,0.6735929371132694,1.1126364058350298,0.24217829915605446,-0.15971013139383217,6.966598775699182,3.2130638627119468,5.472570019641567,0.5395648266233468,17.0314681506691
2026,S3 平滑后×1.20,0.6704666142221041,1.106907051317875,0.3103587308484424,-0.1610162830435916,6.874503810389202,2.5587327402610183,4.129535994456489,0.7130054215231411,14.800610094511885
2026,A7 暴露×1.30 上限100%,0.6603082165566616,1.0883240918163035,0.3223618448069483,-0.1686444040465067,6.453366169897774,2.447990673945518,3.813028485833616,0.7167473028990495,16.65872963505845
2026,B1 波动目标30% 只降,0.6478592328469723,1.0656209775966246,0.23755108846759085,-0.15854439771560713,6.721278032845457,3.17595857041863,5.43368825037819,0.5226523576817116,16.748632028487272
2026,B4 波动目标30% 双向,0.6474433466650753,1.0648638644849528,0.23802226773050508,-0.158831713732548,6.704352924618351,3.168599888335718,5.415099145447011,0.5264163641004327,16.79651018630968
2026,AB1 ×1.10 + 波动25%双向,0.6402934568763914,1.051861152350944,0.2313844285872062,-0.15595886433601924,6.74447814703672,3.225564853432643,5.456794080827593,0.5109018908967904,16.84198858241674
2026,AB3 ×1.20 + 波动20%双向,0.6212653711713012,1.0173818408284268,0.2268006530569278,-0.15238270370414198,6.676491597128495,3.21128930056628,5.388834885873584,0.4949137169197958,16.62068916038654
2026,B2 波动目标25% 只降,0.5877721507775071,0.9571356525908716,0.2178458757405918,-0.15220407726357577,6.288502054602475,3.194643494547349,5.388507205351622,0.47570733014073363,16.096270210095785
2026,B5 波动目标25% 双向,0.5877721507775071,0.9571356525908716,0.2178458757405918,-0.15220407726357577,6.288502054602475,3.194643494547349,5.388507205351622,0.47570733014073363,16.096270210095785
2026,B7 波动目标20% 双向1.5,0.5459380704965335,0.8826907602775125,0.20103610796240237,-0.13981919669740095,6.313087051900625,3.2510911197864423,5.431316537118518,0.42757783999052623,15.256196148773045
2026,B3 波动目标20% 只降,0.5459380704965335,0.8826907602775125,0.20103610796240237,-0.13981919669740095,6.313087051900625,3.2510911197864423,5.431316537118518,0.42757783999052623,15.256196148773045
2026,B6 波动目标20% 双向,0.5459380704965335,0.8826907602775125,0.20103610796240237,-0.13981919669740095,6.313087051900625,3.2510911197864423,5.431316537118518,0.42757783999052623,15.256196148773045
2026,S4 平滑后×1.30,0.5376613162419266,0.8680689635680616,0.3201113325035829,-0.16871017097310714,5.145326796606927,2.113297654073311,3.3893137653002112,0.7665155301244405,13.515177188379868
2026,S5 平滑后×1.30 上限100%,0.49774546470296044,0.7980544063363997,0.34719197716340955,-0.17723458897494582,4.50281410052081,1.8640540375575705,2.936902748707777,0.829051463873703,11.151869543739684
2026,S6 平滑后×1.50 上限100%,0.21614915224090114,0.3287193806600066,0.3943054448953606,-0.23436488129667832,1.402596578639644,0.9167067432216202,1.3850223638551131,0.9187815540961047,7.859007346907768
2026-03+,基准（现状）,0.8357941553525419,2.0227060069170877,0.3068661068888346,-0.11740255028125213,17.228808080160487,3.764406517974653,6.586813894360045,0.5964308516407635,14.880788766841135
2026-03+,A1 暴露×1.05,0.8158399782580827,1.9631469752217594,0.3126186859751897,-0.1232600034562672,15.926877496139925,3.636931225436039,6.265907323026813,0.6087546991442166,14.697894608161308
2026-03+,A2 暴露×1.10,0.8116867857155003,1.9508177791101766,0.3145337555931196,-0.12430616082253376,15.693653204327296,3.603386760812229,6.186323248915792,0.6152308441219462,14.601246894296736
2026-03+,A3 暴露×1.15,0.8095744138573606,1.94455586983011,0.31573676734905487,-0.12479328687068314,15.582215346608795,3.5840990707305056,6.143450694097048,0.6210959880840167,14.323941803643594
2026-03+,A4 暴露×1.20,0.7969616785656444,1.9072915737311193,0.3176749566388019,-0.12527990983418336,15.224241271050934,3.5239396938888765,5.999323184375569,0.6276997420898017,14.29467221128063
2026-03+,AB4 ×1.30 上限100% + 波动25%,0.7953399756393482,1.9025157840372549,0.2520877492543625,-0.07673885506654776,24.792079349990257,4.360337242352957,8.499093497769026,0.4987221799334074,14.667631894076202
2026-03+,A5 暴露×1.30,0.7855740036141476,1.8738306190796354,0.31823698615910256,-0.12363825450026034,15.155751160137,3.481703900094028,5.93482944050428,0.6359509008586294,14.227954260252616
2026-03+,S1 平滑后×1.05,0.7777528631592217,1.8509505817563952,0.31098950293844385,-0.12505694121062028,14.800862421854967,3.5298715913587744,5.981730310614362,0.6118937087049923,14.569160226426376
2026-03+,A6 暴露×1.20 上限100%,0.7617623197984806,1.8044284778099682,0.3301612465034498,-0.14008986831859704,12.880506630974029,3.29356023153739,5.4099393161837845,0.6505696022511485,14.250608884428452
2026-03+,S2 平滑后×1.10,0.7605191547454411,1.8008261347830312,0.3154487716530882,-0.1265815187854964,14.226611847142479,3.4278736696255,5.791096785036263,0.6316186031184756,14.19206069768848
2026-03+,AB2 ×1.20 + 波动25%双向,0.7565970947350873,1.7894747901588302,0.23929869038176424,-0.07580690413665414,23.605696744098854,4.413765320260896,8.676705773664079,0.4708341706255031,14.291668786569552
2026-03+,B4 波动目标30% 双向,0.7503048036665323,1.7713068797524296,0.23449622860298522,-0.07007373208774892,25.27775854059456,4.471345215563309,8.933002360116035,0.45380880222029996,13.71977533922924
2026-03+,B1 波动目标30% 只降,0.7503048036665323,1.7713068797524296,0.23449622860298522,-0.07007373208774892,25.27775854059456,4.471345215563309,8.933002360116035,0.45380880222029996,13.71977533922924
2026-03+,A7 暴露×1.30 上限100%,0.7457474704155587,1.758181789446366,0.3321983436673032,-0.14105026581969027,12.464930705582015,3.2251450071121353,5.274246663034395,0.6631977701674371,13.979952279584996
2026-03+,AB1 ×1.10 + 波动25%双向,0.7140015806948368,1.6675340961201686,0.22673433544028218,-0.07487551940295345,22.270751634403826,4.4477317375576035,8.779801870965738,0.44132831958496815,13.870273085541225
2026-03+,S3 平滑后×1.20,0.7118648597566744,1.6614819514102641,0.32126020200507316,-0.12968980907895666,12.811198992503268,3.2119986974744275,5.421446001945372,0.6654709834806444,12.98783200404576
2026-03+,AB3 ×1.20 + 波动20%双向,0.6880921041772619,1.5945653296267133,0.2238301627568867,-0.07580690413665414,21.034566017262097,4.37831555566204,8.40484719128371,0.43950690724866287,14.119121232322213
2026-03+,B2 波动目标25% 只降,0.675209628920904,1.5586243653057275,0.21406037111080653,-0.07007373208774892,22.24263384964231,4.502768706660463,8.923339907094032,0.412848581066166,13.276454662682227
2026-03+,B5 波动目标25% 双向,0.675209628920904,1.5586243653057275,0.21406037111080653,-0.07007373208774892,22.24263384964231,4.502768706660463,8.923339907094032,0.412848581066166,13.276454662682227
2026-03+,B7 波动目标20% 双向1.5,0.5993998589846279,1.351713895508024,0.19874011536361416,-0.07007373208774892,19.289880176716654,4.408526793829726,8.45332994339459,0.3762695473254632,12.785556709929114
2026-03+,B3 波动目标20% 只降,0.5993998589846279,1.351713895508024,0.19874011536361416,-0.07007373208774892,19.289880176716654,4.408526793829726,8.45332994339459,0.3762695473254632,12.785556709929114
2026-03+,B6 波动目标20% 双向,0.5993998589846279,1.351713895508024,0.19874011536361416,-0.07007373208774892,19.289880176716654,4.408526793829726,8.45332994339459,0.3762695473254632,12.785556709929114
2026-03+,S4 平滑后×1.30,0.5797243030524968,1.2993008462948792,0.3324624974340018,-0.12968980907895666,10.018526941495049,2.6729407387926205,4.478175402044338,0.7259654622345574,12.046465219051623
2026-03+,S5 平滑后×1.30 上限100%,0.5245995958064968,1.1552992443769443,0.3609273291914989,-0.14857136951240502,7.776055697463864,2.309483248465425,3.775074674698126,0.7856004006619516,10.350687373339735
2026-03+,S6 平滑后×1.50 上限100%,0.23422854222169232,0.46697195887192766,0.4177605593757834,-0.23436488129667843,1.9924997136443663,1.1246007065199972,1.7348402035989838,0.8970698685956553,7.370839845982395
