center,scale,rho,cw,sw,avg_pos,obj,累计收益,年化收益,年化波动,最大回撤,Calmar,平均仓位,换手率,操作日占比,基准累计,基准年化,基准最大回撤
0.35,35.0,0.2,0.1,0.2,0.23891391007968027,-1.2987602441592623,0.1988930065277923,0.027733140327613315,0.07685453714933152,-0.19755185039722978,0.14038410813084548,0.23891391007968027,61.38587296441304,0.9993823347745522,0.546852429532334,0.06799580633944835,-0.6265673853758704
0.35,45.0,0.2,0.2,0.3,0.25661105246559346,-1.3036381298904283,0.1866111472068157,0.026138464939440054,0.0803673416514376,-0.21570657091279433,0.1211760255092428,0.25661105246559346,61.096165468673554,0.9975293390982087,0.546852429532334,0.06799580633944835,-0.6265673853758704
0.4,45.0,0.2,0.2,0.2,0.28335554289402115,-1.303774029894815,0.1838494718246424,0.02577796013832412,0.08643193033748045,-0.23811656523325297,0.10825773550476289,0.28335554289402115,60.52468537082564,0.9962940086473132,0.546852429532334,0.06799580633944835,-0.6265673853758704
0.4,35.0,0.2,0.1,0.1,0.2604149954209548,-1.30526912037035,0.19242071128500027,0.026894516418447312,0.08122900941869998,-0.21823694653836923,0.12323539549577993,0.2604149954209548,61.15225817598063,0.9975293390982087,0.546852429532334,0.06799580633944835,-0.6265673853758704
0.4,45.0,0.2,0.1,0.3,0.2890454360736609,-1.3111760986980932,0.18615583988786066,0.026079078915299148,0.08797706395140757,-0.24391307170041798,0.10691956250434305,0.2890454360736609,60.764932088159156,0.9981470043236566,0.546852429532334,0.06799580633944835,-0.6265673853758704
0.35,35.0,0.2,0.15,0.2,0.2431952955131352,-1.311913412680357,0.2050041612461655,0.028521449357446826,0.07837969136290009,-0.19985758121922026,0.1427088689028121,0.2431952955131352,62.02530357140968,0.9987646695491044,0.546852429532334,0.06799580633944835,-0.6265673853758704
0.4,35.0,0.2,0.15,0.1,0.2650372422044684,-1.317221135658758,0.19830997510213288,0.02765775394567127,0.08280985609137594,-0.22058637045713791,0.12538287786482005,0.2650372422044684,61.72928521879302,0.9993823347745522,0.546852429532334,0.06799580633944835,-0.6265673853758704
0.4,45.0,0.2,0.15,0.3,0.2941423254140246,-1.322131759013386,0.19194324966605025,0.026832498105541447,0.08965532460180953,-0.24648871727586552,0.10885893034816284,0.2941423254140246,61.28599492404974,0.9956763434218654,0.546852429532334,0.06799580633944835,-0.6265673853758704
0.35,35.0,0.2,0.2,0.2,0.2474765411135522,-1.3252313319005324,0.21114159257837062,0.029309738388505924,0.0799134357265433,-0.20215715330856132,0.14498491845979442,0.2474765411135522,62.67312468173789,0.9969116738727609,0.546852429532334,0.06799580633944835,-0.6265673853758704
0.4,35.0,0.2,0.2,0.1,0.2696638375610624,-1.3292785673140997,0.20426224106560964,0.028425926597205775,0.08439932547506433,-0.22289806405285817,0.12752881779388103,0.2696638375610624,62.312773094243816,0.9981470043236566,0.546852429532334,0.06799580633944835,-0.6265673853758704
0.4,45.0,0.2,0.2,0.3,0.29923839422582793,-1.3332166000784091,0.19771819935451984,0.027581205058114122,0.09134134116957031,-0.24905661138033997,0.11074271389645723,0.29923839422582793,61.813474972317664,0.9981470043236566,0.546852429532334,0.06799580633944835,-0.6265673853758704
0.35,35.0,0.2,0.1,0.3,0.2520446383749604,-1.3363011854451265,0.21610666756288,0.029944972165312,0.0811630995622957,-0.2065886362393765,0.14494975479006714,0.2520446383749604,63.14759197453752,0.9981470043236566,0.546852429532334,0.06799580633944835,-0.6265673853758704
0.4,35.0,0.2,0.1,0.2,0.27558377172940607,-1.3401505711309953,0.20884919499110133,0.029015701574913733,0.08604579338583306,-0.22836397007561038,0.1270590170827156,0.27558377172940607,62.74921438340519,0.9969116738727609,0.546852429532334,0.06799580633944835,-0.6265673853758704
0.3,55.0,0.3,0.1,0.1,0.20598433210944667,-1.3425251349020146,0.11842652319433666,0.017021590813023346,0.06619637733754825,-0.17547151613443757,0.09700486545053984,0.20598433210944667,63.59054838239096,0.9987646695491044,0.546852429532334,0.06799580633944835,-0.6265673853758704
0.35,35.0,0.2,0.15,0.3,0.25655513493935467,-1.3497465681080607,0.2225600595228252,0.030767338372927666,0.0827735703981902,-0.20886694242317871,0.14730592604066053,0.25655513493935467,63.804021763469954,0.9969116738727609,0.546852429532334,0.06799580633944835,-0.6265673853758704
0.4,35.0,0.2,0.15,0.2,0.2804691509551778,-1.3522921724836592,0.21503315053967054,0.029807812810176415,0.08771683107218696,-0.23082809320598974,0.12913425049859978,0.2804691509551778,63.33429693454203,0.9981470043236566,0.546852429532334,0.06799580633944835,-0.6265673853758704
0.3,55.0,0.3,0.15,0.1,0.209505724668531,-1.3562138413092724,0.12241087281068386,0.017567141978024114,0.06745193922023608,-0.17722617365444981,0.09912272897273058,0.209505724668531,64.25839482300358,0.9993823347745522,0.546852429532334,0.06799580633944835,-0.6265673853758704
0.35,35.0,0.2,0.2,0.3,0.2610792376453606,-1.3632636823075952,0.2289566600376376,0.03157883778063919,0.08439333291465928,-0.21115273198750428,0.14955448354089013,0.2610792376453606,64.46330770472412,0.9987646695491044,0.546852429532334,0.06799580633944835,-0.6265673853758704
0.4,35.0,0.2,0.2,0.2,0.28535757832492004,-1.3645667218482171,0.22120389748322555,0.030594826900498084,0.0893962066059826,-0.23328726530137356,0.131146579565644,0.28535757832492004,63.92589580490142,0.9987646695491044,0.546852429532334,0.06799580633944835,-0.6265673853758704
0.3,55.0,0.3,0.2,0.1,0.2130315964292968,-1.370001263093554,0.1264857331317919,0.01812338780681988,0.06871567553554855,-0.17896675503619008,0.1012667844547722,0.2130315964292968,64.93206366911394,0.9975293390982087,0.546852429532334,0.06799580633944835,-0.6265673853758704
0.4,35.0,0.2,0.1,0.3,0.2909053070621112,-1.37395830565008,0.2245957062177144,0.031025979345853827,0.09090915915602109,-0.2388255993375582,0.12991061021897168,0.2909053070621112,64.27857426635774,0.9962940086473132,0.546852429532334,0.06799580633944835,-0.6265673853758704
0.3,55.0,0.3,0.1,0.2,0.2174863180193159,-1.3807446888442092,0.13066172725200964,0.018691669068459094,0.06997683877754562,-0.18303319234700577,0.1021217453991747,0.2174863180193159,65.39598808695827,0.9975293390982087,0.546852429532334,0.06799580633944835,-0.6265673853758704
0.4,35.0,0.2,0.15,0.3,0.2960461931341682,-1.3863943852101368,0.23106178413428546,0.031845118192617816,0.0926676766296191,-0.24136799166715228,0.13193596206630578,0.2960461931341682,64.87777537845892,0.9987646695491044,0.546852429532334,0.06799580633944835,-0.6265673853758704
0.35,55.0,0.3,0.1,0.1,0.2435720053541425,-1.3896470275712764,0.13060027443001476,0.018683319323204772,0.07613806622663703,-0.2066594962661097,0.09040629470589041,0.2435720053541425,65.25002993807132,0.9987646695491044,0.546852429532334,0.06799580633944835,-0.6265673853758704
0.3,45.0,0.3,0.1,0.1,0.20962588144201036,-1.3937744948661046,0.14895862699792684,0.0211607433287051,0.06920568158241078,-0.17038842781668329,0.12419120007064931,0.20962588144201036,66.4870512143234,0.9987646695491044,0.546852429532334,0.06799580633944835,-0.6265673853758704
