center,scale,cw,sw,avg_actual,avg_target,locked_ratio,obj,累计收益,年化收益,年化波动,最大回撤,Calmar,平均仓位,换手率,操作日占比,基准累计,基准年化,基准最大回撤,目标平均仓位,实际平均仓位,平均锁仓率
0.35,35.0,0.1,0.1,0.27597096171690627,0.29399784649412225,0.13722915234659414,-1.715624682467077,0.2317610183793466,0.03193347986941575,0.09194917928534858,-0.21979382233921063,0.1452883412716323,0.27597096171690627,81.88306255834436,0.6948733786287832,0.546852429532334,0.06799580633944835,-0.6265673853758704,0.29399784649412225,0.27597096171690627,0.13722915234659414
0.35,45.0,0.15,0.3,0.30614061089105754,0.32526520758029265,0.1241712194942627,-1.7242219215072248,0.22546877696769352,0.031136796296104663,0.09961459346284031,-0.24710029963507285,0.12600873548955088,0.30614061089105754,81.59042839928965,0.6769610870907968,0.546852429532334,0.06799580633944835,-0.6265673853758704,0.32526520758029265,0.30614061089105754,0.1241712194942627
0.3,35.0,0.15,0.2,0.2572304864066559,0.27406739177906914,0.14974022890108496,-1.724911448092366,0.24654649182937072,0.033792007385139655,0.08844455762389596,-0.19973849313773173,0.16918124721126251,0.2572304864066559,82.941710445432,0.7127856701667696,0.546852429532334,0.06799580633944835,-0.6265673853758704,0.27406739177906914,0.2572304864066559,0.14974022890108496
0.4,35.0,0.1,0.1,0.31476428857468175,0.33407418085002166,0.12280527252749876,-1.731696044078771,0.2420473634419269,0.03322845938846841,0.10231386431731945,-0.2500116927499829,0.13290762133152542,0.31476428857468175,81.99593285461239,0.679431747992588,0.546852429532334,0.06799580633944835,-0.6265673853758704,0.33407418085002166,0.31476428857468175,0.12280527252749876
0.35,35.0,0.15,0.1,0.280357965847837,0.2982771204021213,0.13736017870141928,-1.7349682945014184,0.23851552048557112,0.03278485497832695,0.09347286821919806,-0.22141308166642126,0.1480709935094092,0.280357965847837,82.85233043232674,0.7004323656578134,0.546852429532334,0.06799580633944835,-0.6265673853758704,0.2982771204021213,0.280357965847837,0.13736017870141928
0.35,45.0,0.2,0.3,0.310758642162038,0.32987667623543776,0.12368166683724968,-1.7409499237154846,0.23668292430951277,0.032554254869352706,0.10123891548549607,-0.24720537098168316,0.13168910829111732,0.310758642162038,82.49507465469978,0.6849907350216183,0.546852429532334,0.06799580633944835,-0.6265673853758704,0.32987667623543776,0.310758642162038,0.12368166683724968
0.3,35.0,0.2,0.2,0.26121501386715396,0.2780846922488235,0.14927418281760582,-1.7433506002204238,0.25378926382266354,0.034695598394796745,0.08998534317020274,-0.20142946382134086,0.17224688849676045,0.26121501386715396,83.8665733352275,0.7164916615194564,0.546852429532334,0.06799580633944835,-0.6265673853758704,0.2780846922488235,0.26121501386715396,0.14927418281760582
0.4,35.0,0.15,0.1,0.31960028894379305,0.3388708155804177,0.12210899639126187,-1.7501521143986292,0.24653748511886597,0.033790880956887426,0.10401189857698909,-0.25430544286767864,0.1328751778799703,0.31960028894379305,82.83951369608387,0.6880790611488573,0.546852429532334,0.06799580633944835,-0.6265673853758704,0.3388708155804177,0.31960028894379305,0.12210899639126187
0.35,35.0,0.2,0.1,0.2844974054183548,0.3025563943101203,0.1366435682205347,-1.7538370788827278,0.24241100013014272,0.03327407182001263,0.09500048138753418,-0.2245303429930383,0.1481940987416757,0.2844974054183548,83.74229896031106,0.701667696108709,0.546852429532334,0.06799580633944835,-0.6265673853758704,0.3025563943101203,0.2844974054183548,0.1366435682205347
0.3,35.0,0.1,0.3,0.26521585496528954,0.2822779369519381,0.14817044577015742,-1.7582162056007438,0.25688277450336483,0.0350801870416495,0.09115486922139654,-0.20614678696283528,0.17017091344709562,0.26521585496528954,84.51114995804878,0.7245213094502779,0.546852429532334,0.06799580633944835,-0.6265673853758704,0.2822779369519381,0.26521585496528954,0.14817044577015742
